|Address|Name|Phone
62|C 6/9, Behind Hauzkhas Telephone Exchange, Safdarjung Development Area Hauz Khas, New Delhi - 110016|I Care Centre|011 3951 0143, 011 2696 3999, 9810108916
63|Shopping Centre, Pamposh Enclave, Near R- Block, Greater Kailash I Greater Kailash, New Delhi - 110048|Sukhda Hospital|011 4336 4400
64|E-60, Greater Kailash I Greater Kailash, New Delhi - 110048|Phoenix Hospital|011 4686 3800
65|Printer Appartment, Rohini Sector 13 Rohini, New Delhi - 110085|Bhagwati Hospital|011 3954 1488
66|67/1, New Rohtak Road, Near Liberty Cinema Karol Bagh, New Delhi - 110005|Jeewan Mala Hospital|011 3951 8722
67|118-A/1, Gtb Chowk, Near Dilshad Garden Govt School & Rosemary Public School Dilshad Garden, New Delhi - 110095|Jeevan Jyoti Hospital|011 2258 2719, 011 2211 8026, 011 2212 3901
68|B-16, Mehrauli Institutional Area, Near Qutab Hotel Hauz Khas, New Delhi - 110016|Sitaram Bhartiya Hospital|011 4211 1111, 011 4211 1100, 9810038789
69|Buildig No. 5, Near Rajendra Place Metro Station, Pusa Road Karol Bagh, New Delhi - 110005|BLK Memorial Hospital|011 3040 3040
70|D-305, Jamia Nagar, Abul Fazal Enclave, Dawat Nagar Okhla, New Delhi - 110025|Alshifa Multi Speciality Hospital|011 2698 9221, 011 2698 9222, 011 2698 9223, 011 2698 9224, 011 2698 9225
71|2, Chandragupta Marg, Near Qatar Embassy Chanakya Puri, New Delhi - 110021|Primus Super Speciality Hospital|011 6620 6620, 011 6620 6630, 9289304927, 9711193189
72|383/11 C, East Azad Nagar, Krishna Nagar Karkardooma, New Delhi - 110051|Surya Hospital|011 2200 2795, 011 2200 2364, 9810198845
73|C-3/91-92, Near Fly Over, Dabri More Janakpuri, New Delhi - 110058|Orchid Hospital|011 4565 4565, 011 4565 4566, 9871579046
74|E-241/A, Gtb Enclave, Opposite Gtb Hospital Gate No.-10 Dilshad Garden, New Delhi - 110095|Best Care Diagnostic & Physiotherapy Centre|011 3372 3836
75|G-14, Karkari More, Opposite Pillar No-105, Preet Vihar Patparganj, New Delhi - 110092|Dr Anands Imaging & Neurological Research Centre|011 3306 0617
76|B-12, West Nathu Colony, Main Mandoli Raod, Near Sant Krishna Bodh Public School Shahdara, New Delhi - 110032|Fine Diagnostic Centre|011 3954 5911
77|185, Saini Enclave, Near Karkardooma Metro Station, Anand Vihar Karkardooma, New Delhi - 110092|Suraksha Diagnostic|011 3307 6044
78|Shop No. 5, Plot No. E-29, Balaji Bhawan, Shashi Garden, Pocket-5 Mother Dairy, Mayur Vihar Phase I Mayur Vihar, New Delhi - 110091|Advanced Diagnostic Centre|011 3306 8148
79|C 242, C Block, Main Road, Near Kali Badi Mandir New Ashok Nagar, New Delhi - 110096|Rajdhani Medical Centre|011 3363 3426
80|A-87/1, Sewak park, Near Dwarka mod, Near NSIT College Dwarka, New Delhi - 110059|NDNC Diagnostic|8882435243, 9266402000
81|Alam Plaza, 1st Floor, Tokar Number 4, Kalandi Kunj, Jamia Nagar Okhla, New Delhi - 110025|Peace Diagnostic Center| 9711835962
82|5 A/34 Tilak Nagar, Opposite Metro Pillar Number 492, Near Police Station Tilak Nagar Janakpuri, New Delhi - 110018|City X Ray & Scan Clinic Pvt Ltd|011 4725 2000
83|H-11, Green Park Extention Green Park, New Delhi - 110016|Lifeline Laboratory|011 2616 8587, 011 2616 8588, 011 2616 8589
84|Block no-A, Green Park, Main Aurobindo marg Green Park, New Delhi - 110016|MRI/ PET CT Scan Centre|99994 46542
85|77/A, Ground Floor, Telephone Exchange Road, Opposite Ihbas Hospital Gate Number 2 Dilshad Garden, New Delhi - 110095|Real Imaging & Research Centre|011 3374 4522
86|Shop no.3, 2B-1, Single Storey, Ramesh Nagar Kirti Nagar, New Delhi - 110015|Ambika Diagnostics|01145541217, 9971896968
87|B-219, Naraina Industrial Area, Phase-1, Naraina Mayapuri, New Delhi - 110028|Medcis Path Labs India Pvt Ltd (New Delhi)|011- 4503 8605
88|B-243, Priyadarshini Vihar Karkardooma, New Delhi - 110092|Shree Path Labs|9818241028, 9891614054
89|B-1/43, Malka Ganj Road, Malka Ganj, Near Main Post Office Civil Lines, New Delhi - 110007|Khurana Diagnostic Centre|011 2385 1055, 011 2385 8042, 9711838185
90|7/10, Dr Mukherjee Nagar, Vishal Market Civil Lines, New Delhi - 110009|HiTech Diagnostic Services|011 2721 5385, 011 2744 4555, 9811054279
91|1/1, Rani Jhansi Road, Jhandewalan, Near Delhi Heart & Lung Institute Pahar Ganj, New Delhi - 110055|Banwari Lal Charitable Trust|011 2352 4995, 011 2355 9910
92|D-77-A, Friday Market Road, main road malka ganj, Malka Ganj, Near malka Ganj Chowk Civil Lines, New Delhi - 110007|Public Path Lab & Diagnostic Centre|011 3308 4664, 8010428205
93|F-19A, Opp. Hudson Lane, Block F, Thekedaar Surjeet Singh Marg, Vijay Nagar Civil Lines, New Delhi - 110009|Dr. Madhus Ultrasound Clinic and Path Lab|011 2741 9460, 9811084727
94|F-, New Market, Timarpur Civil Lines, New Delhi - 110054|Vinayak Poly Clinic & Diagnostic Centre|011 6596 9590, 011 6596 9591, 8750246641, 9810004303
95|Plot Number 2/3/4, Roop Nagar, Near Shakti Nagar Crossing Civil Lines, New Delhi - 110007|Modern Ct Scan And Diagnostic Centre|011 3372 0401
96|70, Bagh Diwar, Fatehpuri, Chandni Chowk Civil Lines, New Delhi - 110006|Gami Diagnostic Centre|011 2396 5969
97|29/2, Shakti Nagar, Nangia Park Civil Lines, New Delhi - 110007|N N Xray & Sonar Diagnostic Centre|011 2384 3818, 011 2384 5306, 011 4235 1030, 011 4235 1031, 9810105655
98|Q Block,House No 3, Prince Road, Model Town, Near Tagor Park Civil Lines, New Delhi - 110009|Model Town Diagnostic Centre|011 3308 8482, 011 2721 0984
99|18, Shamnath Mg, Sant Parmanand Hospital Civil Lines, New Delhi - 110054|Vbcd Scan & Angiography Research Centre|011 2392 8696, 011 2396 8969
100|1/3216 Shop No 2 Mandoli Road Shahdara, New Delhi - 110032|Patodia Diagnostic Center|9810290913
101|Shop No 8, GTB Nagar, Edward Iines Civil Lines, New Delhi - 110009|Bedi Diagnostic Centre|8130205332, 9811267804, 8527870778
102|360/1 B, Main road, Nirankari Colony, Near Dhirpur village Civil Lines, New Delhi - 110009|Raj Diagnostics And Imaging Centre|011 3374 4624
103|D-938, Lower Ground Floor, Near Sujan Mohinder Hospital Okhla, New Delhi - 110025|SR Imaging And Diagnostics|011 3363 0928
104|77, Bharat Nagar-Friends Colony East, Near Bank Of Baroda Okhla, New Delhi - 110065|Health View Diagnostic Centre|011 4609 9765, 9990970920, 9810459818
105|C -64, Lajpat Nagar 1, Near Defence Colony Flyover Lajpat Nagar, New Delhi - 110024|Indraprastha Diagnostic Centre|011 2981 8839
106|G 49, Lajpat Nagar 2, Near Rampul Lajpat Nagar, New Delhi - 110024|Unipath Diagnostics|011 3954 9108, 011 4172 6677
107|1/4, Ground Floor, Vikram Vihar, Gupta Market Lajpat Nagar, New Delhi - 110024|Dr Makashirs Diagnostics Medical Lab|011 2646 3080, 011 2621 8577, 011 2622 2458, 9811153427
108|C-81, Lajpat Nagar 2, Near C Block Mother Dairy Lajpat Nagar, New Delhi - 110024|Aastha Medical Centre|011 3372 8111
109|B174, Dayanand Colony Lajpat Nagar, New Delhi - 110024|Star Imaging & Path Labs|011 4158 8564
110|A 15, Tagore Market, Opposite Metro Pillar Number-334-335, Near Kerela Hospital Kirti Nagar, New Delhi - 110015|Neeraj Diagnostic Center|011 4568 3435, 011 2517 3435, 9717616196, 9999250985
111|A-2 Block Paschim Vihar, New Delhi - 110063|Jain Diagnostics|011 3297 9614, 9810492621
112|B-1/18-A, JAWALA HERI MKT ROAD, Near Punjab National Bank Paschim Vihar, New Delhi - 110063|Quest Diagnostics|011 4551 0741
113|D-364, Road Number 28, Tagore Garden Extension Mayapuri, New Delhi - 110027|Indian Diagnostic Center|011 2546 1178
114|G-51, Basement, Dr Deen Dayal Upadhyaya Marg, Block G, Pushkar Enclave Paschim Vihar, New Delhi - 110063|Yours Care|9289666666
115|3457, Main Hansapuri Road, Pandit Lekhram Sharma Marg, Tri Nagar Pitampura, New Delhi - 110035|Dewan Medical Centre|011 2731 8487
116|Shop no-6, GH-9 DDA MARKET, Near safal dairy Paschim Vihar, New Delhi - 110063|N D Diagnostic Centre|9711559595
117|R R 13, Miyan Wele Nagar, Near peeragari Paschim Vihar, New Delhi - 110063|Indo American Health Care|011 3222 2022, 9990488080, 8467822022
118|487/76, Near Bright Motors, Peera Garhi Paschim Vihar, New Delhi - 110087|Gupta Health Republic|011 2734 5252
119|Shop No.15, Ground Floor, Najafgarh Road, Nangloi, Near Voter Card Office Paschim Vihar, New Delhi - 110041|Ganesh Diagnostic & Imaging Centre|011 2594 1405
120|West Patel Nagar, Main Patel Road, Block A, Guru Arjun Nagar, Khampur Patel Nagar, New Delhi - 110008|Sidharth Chain Of Diagnostics|011 2570 3093
121|C/o Nijhara Hospital,2979/3 Ranjit Nagar, South Patel Nagar Patel Nagar, New Delhi - 110008|Nijhara Hospital|011 2584 8721, 9811075034, 9810125573
122|10a,29, Patel Nagar East, Pop. Patel Hospital Patel Nagar, New Delhi - 110008|Life Aid Diagnostics|011 3257 1778, 9953268886, 8860076419
123|6/27,Ground Floor, West Patel Nagar, Near Moti Cinema Theatre Patel Nagar, New Delhi - 110008|Appurva Diagnostic|011 2588 7977, 9891044555, 9717849555
124|6/1,Ground Floor, West Patel Nagar Patel Nagar, New Delhi - 110008|SRV Pathology Centre|8375860083, 9582306210
125|1/3, East Patel Nagar, Metro Pillar No-181, Patel Nagar Metro Station Patel Nagar, New Delhi - 110008|Himgiri X Ray Centre|011 2588 0281, 9818690182, 9810488518
126|E-84, Lajpat Nagar 2 Lajpat Nagar, New Delhi - 110024|Dr Lal Path Labs (Lajpat Nagar)|011 3372 3625
127|M-25, Old Double Story, Behind Ring Road, Part-4 Lajpat Nagar, New Delhi - 110024|Metropolis Diagnostic Centre (Lajpat Nagar)|011 4051 6263
128|A-3 / 318, Paschim Vihar Exten Paschim Vihar, New Delhi - 110063|Janta Diagnostic Center|011 2526 6263, 011 6546 0325
129|15a/A-2b, Ekta Apartment Paschim Vihar, New Delhi - 110063|Nova Diagnostic Centre|011 2526 8744, 011 2526 8745, 011 2525 6247, 011 6544 8830, 9810031363
130|Rohtak Road,Nagloi Chowk, Nangloi, Near Petrol Pump Paschim Vihar, New Delhi - 110041|Janata Diagnostic Centre|011 2526 1931
131|1, Main Rohtak Road, Peera Garhi, Near Peera Garhi Metro Station, Paschimi Enclv Paschim Vihar, New Delhi - 110063|Krystal Scan & Diagnostic Centre|011 4518 1111, 9871002228, 9718002228
132|8, Inder Encl, Main Rohtak Road Paschim Vihar, New Delhi - 110063|Spectrum Imaging & Diagnostic Centre|011 4515 1111, 9971575997
133|A- 4, shiv market, Near grover sweets Paschim Vihar, New Delhi - 110063|Nirmal Xray & Diagnostic Centre|011 2526 8332, 011 2527 6164, 9999003573, 9873600606
134|1ST Floor, Sarbati Complex, Near State Bank Of India, Jwala Heri Market Paschim Vihar, New Delhi - 110063|Nishit Clinical Laboratary|011 2526 6939, 9811532134
135|86 D, Najafgarh Ext., Nangloi Road, Najafgarh Najafgarh, New Delhi - 110043|Accurate Diagnostics|9210739625, 9311237764
136|J-16, Sri Aurobindo Marg,Hauz Khas Enclave Hauz Khas, New Delhi - 110016|Dr Gulati Imaging Institute|9811081309
137|Ultra sound X Ray & Colour Doppler Clinic, E-6-A, E Block Market Hauz Khas, New Delhi - 110016|Dr Gopal K Gupta Diagnostic Centre|011 2651 3174, 9810272107
138|253/1, Shahpur Jat Hauz Khas, New Delhi - 110049|Neethi Diagnostics Centre|011 2649 6813
139|K18, Hauz Khas Enclave Hauz Khas, New Delhi - 110016|Mahajan Imaging (Hauz Khas)|011 4313 8000
140|A-70, Ground Floor, DDA Flats, Mount Kailash, East of Kailash Greater Kailash, New Delhi - 110065|Kohli Imaging & Diagnostic Centre|011 2641 4261, 9810049591
141|15, Greater Kailash 1 Rd, Block W, W Block, Greater Kailash I Greater Kailash, New Delhi - 110048|BR Diagnostics and Imaging|011 4163 0339, 9990119483, 9560988224
142|A-28, Kailash Colony Greater Kailash, New Delhi - 110048|Wellness Diagnostics|011 4106 2814
143|S-13, Greater Kailash 1, Opposite M Block Market Greater Kailash, New Delhi - 110048|Dr. P. Bhasin Path Labs|9311193111
144|A Block, House No 19 A, Main Road, Kailash Colony, Near Kailash Colony Metro Station Greater Kailash, New Delhi - 110048|Nova Specialty Hospital|011 3951 5632, 011 4046 5555, 9810705350
145|S-63, Part-1, Greater Kailash, Opposite M Block Market Greater Kailash, New Delhi - 110048|Health Plus MRI And Diagnostics|011 4123 4567, 9650174847, 7838339912
146|F - 44, Near Kailash Colony Metro Station, East of Kailash Greater Kailash, New Delhi - 110065|Paras Spring Meadows Hospital|011 4041 1111
147|88, hari nagar, Main road, Ashram, Near flyover Lajpat Nagar, New Delhi - 110014|N Y Clinic|011 3951 3759
148|C-234, Near Main Market, Defence Colony Lajpat Nagar, New Delhi - 110024|Dr Charu Kohlis Clinic|011 3954 4899
149|T-272, Jasola Vihar, Jamia Nagar Okhla, New Delhi - 110025|SAM Imaging & Diagnostics Centre|011 2684 0445
150|Office No- 165 E (Basement), ABC House Main Road Okhla, Sarai Jullena, Opposite Escort Hospital Okhla, New Delhi - 110025|Orbit Diagnostics|9911241943, 9650079328, 9650339328
151|Plot No-177, Parkview Apartment, Basement, Opposite Okhla Head Bus Stand, Jamia Nagar Okhla, New Delhi - 110025|Shadab Diagnostics|011 2691 0418, 011 2692 0071, 9910097872
152|D-423/424, Raghubir nagar, Janta Colony, Tagore Garden Extension Mayapuri, New Delhi - 110027|Ajay X-Ray & Clinical Lab|9811462102
153|Deewan House, Ajay Enclave, Subhash Nagar, Opposite Yes Bank ATM, Tagore garden Mayapuri, New Delhi - 110027|Wellness Pathcare|011 3398 7357
154|J-1/162-A, Opposite Vishal Megha Mart, Main Market, Rajouri Garden Mayapuri, New Delhi - 110027|Prerak Pathology Clinic|011 2593 8312, 011 2510 6149, 9868481521, 9311618722
155|Metro Pillar No. 492,Subhash Nagar, 5A/1, Block 7, Tilak Nagar Janakpuri, New Delhi - 110018|Bharat X-Ray Clinic|011 2598 8184
156|C 70, Major Sudesh Kumar Marg, Opposite Mahadev Bindra Park, Rajouri Garden Mayapuri, New Delhi - 110027|The Apollo Clinic|011 3363 7226, 011 2591 8222, 011 2591 8333, 9711203302, 9811061009
157|No. C-1, Vishal Enclave, Rajouri Garden Mayapuri, New Delhi - 110027|Kukreja Hospital and Heart Centre|011 4567 5000
158|Wz-22a Sant Pura, Uggarsain Market, Tilak Nagar, Near Tilak Nagar Police Station Janakpuri, New Delhi - 110018|We Care Diagnostics|011 3343 7120
159|Chowk Opposite New Delhi, Shivaji College Road, Block M, Tagore Garden Extension Mayapuri, New Delhi - 110027|Ganesh X-Ray &Diagnostics Center|011 2527 5745, 011 2542 9061, 9958586555
160|U-55, West Patel Nagar Patel Nagar, New Delhi - 110008|Super Diagnostic|011 3954 4116
161|South Ext -P-2, Mahatma Gandhi Road, South Extension II Green Park, New Delhi - 110049|Al Khaleej Diagnostic Centre|011 2626 2680
162|107, 1st floor, Masjid moth, South ext tower, South Extension Green Park, New Delhi - 110049|Anupam Diagnositc Centre|9718841613, 9818666172
163|H-10, Green Park Extension, Near HDFC Bank Green Park, New Delhi - 110016|Focus Imaging & Research Centre|011 4219 9991, 011 4219 9992, 011 4219 9999, 9310683507, 9310133100
164|118-A/B-1, Near G.T.B. Hospital Chowk Dilshad Garden, New Delhi - 110095|Pulse Diagnostics|011 6576 7015
165|No.R-22, Part-II, Near Jain Mandir, South Extension Green Park, New Delhi - 110049|Uppal Diagnostics|011 2625 3824, 011 2626 2240
166|123, South Extension 1, Masjid Moth, South Extension Green Park, New Delhi - 110049|SRL Diagnostics (South Extension)|011 3307 5608, 011 3374 2846, 011 3343 4505, 8860865186/91)-11-33745268, 9650645188, 8800255003
167|23-B, Pusa Road, Opp. Metro Pillar 115 Karol Bagh, New Delhi - 110005|Dr. Doda's Diagnostics and Healthcare|011 4300 6300
168|35B, Block 11, Opposite Metro Pillar No. 124, Near Rajender Nagar Metro Station, Old Rajender Nagar, Rajender Nagar Karol Bagh, New Delhi - 110005|Orbit Imaging [Rajender Nagar]|7264033364
169|9930, Sarai Rohilla,New Rohatk Road, Near HDFC Bank Karol Bagh, New Delhi - 110005|Krishna Diagnostic Centre|011 2871 2576
170|15 & 16, Main Vikas Marg, Hargobind Enclave-anand Vihar, Near Karkardooma Metro Station & Metro Pillar No-119 Karkardooma, New Delhi - 110092|House Of Diagnostics (Karkardooma)|011 3305 5277
171|35 B, Pusa Road, Opposite Metro Pillar Number 124 Karol Bagh, New Delhi - 110005|Surya Diagnostics Ltd|011 3951 9854
172|23-B, Pusa Road, Near Karol Bagh Metro Station Pillar No-114 Karol Bagh, New Delhi - 110005|Dr Suri Lab Pvt Ltd|011 3954 7666
173|34B, Pusa Road, Rajinder Nagar Karol Bagh, New Delhi - 110005|Handa Imaging Centre|011 2578 4888
174|D-1/1, Navin Shahdara Shahdara, New Delhi - 110032|Cosmos Diagnostic Center|011 2232 0544
175|25 Raj Block, Naveen Shahdra, Opposite Shahdra Metro Station Shahdara, New Delhi - 110032|Dr Gupta Nursing Home & Hospital|011 3306 3395
176|BEST Medical Savings, Services Across Delhi And NCR, Munirka, Medical Discount Provider In Your Area Vasant Vihar, New Delhi - 110067|Urolife Stone & Diagnostic Center|011 4141 4170, 9810019324
177|Door No 87-A, Kapoor Wali Gali, Munirka, Munrika Village, Shivam Market , Near Anupam Restaurant Vasant Vihar, New Delhi - 110067|Amar X Ray & Pathological Lab|011 4239 8350, 9891135202, 9873674947
178|11, Munirka Marg Vasant Vihar, New Delhi - 110057|Nutech Diagnostics|011 2614 0957
